pair_id,pair_type,side,Arms_set,deg_set,beta_deg,id_A,iq_A,is_rated,point_role
56,mirror,regen,202.5874,94.0856,265.9144,350.0,-25.0,False,dense_cartesian
57,mirror,motoring,216.9869,86.1859,-86.1859,375.0,25.0,False,dense_cartesian
57,mirror,regen,216.9869,93.8141,266.1859,375.0,-25.0,False,dense_cartesian
58,mirror,motoring,231.3907,86.4237,-86.4237,400.0,25.0,False,dense_cartesian
58,mirror,regen,231.3907,93.5763,266.4237,400.0,-25.0,False,dense_cartesian
59,mirror,motoring,245.798,86.6335,-86.6335,425.0,25.0,False,dense_cartesian
59,mirror,regen,245.798,93.3665,266.6335,425.0,-25.0,False,dense_cartesian
60,mirror,motoring,260.2082,86.8202,-86.8202,450.0,25.0,False,dense_cartesian
60,mirror,regen,260.2082,93.1798,266.8202,450.0,-25.0,False,dense_cartesian
61,mirror,motoring,274.621,86.9872,-86.9872,475.0,25.0,False,dense_cartesian
61,mirror,regen,274.621,93.0128,266.9872,475.0,-25.0,False,dense_cartesian
62,mirror,motoring,289.0358,87.1376,-87.1376,500.0,25.0,False,dense_cartesian
62,mirror,regen,289.0358,92.8624,267.1376,500.0,-25.0,False,dense_cartesian
63,mirror,motoring,303.4524,87.2737,-87.2737,525.0,25.0,False,dense_cartesian
63,mirror,regen,303.4524,92.7263,267.2737,525.0,-25.0,False,dense_cartesian
64,mirror,motoring,317.8705,87.3974,-87.3974,550.0,25.0,False,dense_cartesian
64,mirror,regen,317.8705,92.6026,267.3974,550.0,-25.0,False,dense_cartesian
65,mirror,motoring,332.29,87.5104,-87.5104,575.0,25.0,False,dense_cartesian
65,mirror,regen,332.29,92.4896,267.5104,575.0,-25.0,False,dense_cartesian
66,mirror,motoring,346.7107,87.6141,-87.6141,600.0,25.0,False,dense_cartesian
66,mirror,regen,346.7107,92.3859,267.6141,600.0,-25.0,False,dense_cartesian
67,mirror,motoring,361.1325,87.7094,-87.7094,625.0,25.0,False,dense_cartesian
67,mirror,regen,361.1325,92.2906,267.7094,625.0,-25.0,False,dense_cartesian
68,mirror,motoring,375.5551,87.7974,-87.7974,650.0,25.0,False,dense_cartesian
68,mirror,regen,375.5551,92.2026,267.7974,650.0,-25.0,False,dense_cartesian
69,mirror,motoring,389.9786,87.8789,-87.8789,675.0,25.0,False,dense_cartesian
69,mirror,regen,389.9786,92.1211,267.8789,675.0,-25.0,False,dense_cartesian
70,mirror,motoring,404.4029,87.9546,-87.9546,700.0,25.0,False,dense_cartesian
70,mirror,regen,404.4029,92.0454,267.9546,700.0,-25.0,False,dense_cartesian
71,mirror,motoring,418.8277,88.0251,-88.0251,725.0,25.0,False,dense_cartesian
71,mirror,regen,418.8277,91.9749,268.0251,725.0,-25.0,False,dense_cartesian
72,mirror,motoring,433.2532,88.0908,-88.0908,750.0,25.0,False,dense_cartesian
72,mirror,regen,433.2532,91.9092,268.0908,750.0,-25.0,False,dense_cartesian
73,mirror,motoring,447.6792,88.1524,-88.1524,775.0,25.0,False,dense_cartesian
73,mirror,regen,447.6792,91.8476,268.1524,775.0,-25.0,False,dense_cartesian
74,mirror,motoring,462.1057,88.2101,-88.2101,800.0,25.0,False,dense_cartesian
74,mirror,regen,462.1057,91.7899,268.2101,800.0,-25.0,False,dense_cartesian
75,mirror,motoring,476.5326,88.2643,-88.2643,825.0,25.0,False,dense_cartesian
75,mirror,regen,476.5326,91.7357,268.2643,825.0,-25.0,False,dense_cartesian
76,mirror,motoring,490.9599,88.3153,-88.3153,850.0,25.0,False,dense_cartesian
76,mirror,regen,490.9599,91.6847,268.3153,850.0,-25.0,False,dense_cartesian
77,mirror,motoring,505.3876,88.3634,-88.3634,875.0,25.0,False,dense_cartesian
77,mirror,regen,505.3876,91.6366,268.3634,875.0,-25.0,False,dense_cartesian
78,mirror,motoring,519.8157,88.4089,-88.4089,900.0,25.0,False,dense_cartesian
78,mirror,regen,519.8157,91.5911,268.4089,900.0,-25.0,False,dense_cartesian
79,mirror,motoring,534.244,88.4518,-88.4518,925.0,25.0,False,dense_cartesian
79,mirror,regen,534.244,91.5482,268.4518,925.0,-25.0,False,dense_cartesian
80,mirror,motoring,548.6726,88.4926,-88.4926,950.0,25.0,False,dense_cartesian
80,mirror,regen,548.6726,91.5074,268.4926,950.0,-25.0,False,dense_cartesian
81,mirror,motoring,563.1015,88.5312,-88.5312,975.0,25.0,False,dense_cartesian
81,mirror,regen,563.1015,91.4688,268.5312,975.0,-25.0,False,dense_cartesian
82,mirror,motoring,577.5307,88.5679,-88.5679,1000.0,25.0,False,dense_cartesian
82,mirror,regen,577.5307,91.4321,268.5679,1000.0,-25.0,False,dense_cartesian
83,mirror,motoring,591.96,88.6028,-88.6028,1025.0,25.0,False,dense_cartesian
83,mirror,regen,591.96,91.3972,268.6028,1025.0,-25.0,False,dense_cartesian
84,mirror,motoring,606.3896,88.6361,-88.6361,1050.0,25.0,False,dense_cartesian
84,mirror,regen,606.3896,91.3639,268.6361,1050.0,-25.0,False,dense_cartesian
85,mirror,motoring,606.9047,-87.2737,87.2737,-1050.0,50.0,False,dense_cartesian
85,mirror,regen,606.9047,267.2737,92.7263,-1050.0,-50.0,False,dense_cartesian
86,mirror,motoring,592.4877,-87.2073,87.2073,-1025.0,50.0,False,dense_cartesian
86,mirror,regen,592.4877,267.2073,92.7927,-1025.0,-50.0,False,dense_cartesian
87,mirror,motoring,578.0715,-87.1376,87.1376,-1000.0,50.0,False,dense_cartesian
87,mirror,regen,578.0715,267.1376,92.8624,-1000.0,-50.0,False,dense_cartesian
88,mirror,motoring,563.6562,-87.0643,87.0643,-975.0,50.0,False,dense_cartesian
88,mirror,regen,563.6562,267.0643,92.9357,-975.0,-50.0,False,dense_cartesian
89,mirror,motoring,549.2419,-86.9872,86.9872,-950.0,50.0,False,dense_cartesian
89,mirror,regen,549.2419,266.9872,93.0128,-950.0,-50.0,False,dense_cartesian
90,mirror,motoring,534.8286,-86.9059,86.9059,-925.0,50.0,False,dense_cartesian
90,mirror,regen,534.8286,266.9059,93.0941,-925.0,-50.0,False,dense_cartesian
91,mirror,motoring,520.4165,-86.8202,86.8202,-900.0,50.0,False,dense_cartesian
91,mirror,regen,520.4165,266.8202,93.1798,-900.0,-50.0,False,dense_cartesian
92,mirror,motoring,506.0056,-86.7295,86.7295,-875.0,50.0,False,dense_cartesian
92,mirror,regen,506.0056,266.7295,93.2705,-875.0,-50.0,False,dense_cartesian
93,mirror,motoring,491.596,-86.6335,86.6335,-850.0,50.0,False,dense_cartesian
93,mirror,regen,491.596,266.6335,93.3665,-850.0,-50.0,False,dense_cartesian
94,mirror,motoring,477.1879,-86.5318,86.5318,-825.0,50.0,False,dense_cartesian
94,mirror,regen,477.1879,266.5318,93.4682,-825.0,-50.0,False,dense_cartesian
95,mirror,motoring,462.7814,-86.4237,86.4237,-800.0,50.0,False,dense_cartesian
95,mirror,regen,462.7814,266.4237,93.5763,-800.0,-50.0,False,dense_cartesian
96,mirror,motoring,448.3767,-86.3086,86.3086,-775.0,50.0,False,dense_cartesian
96,mirror,regen,448.3767,266.3086,93.6914,-775.0,-50.0,False,dense_cartesian
97,mirror,motoring,433.9739,-86.1859,86.1859,-750.0,50.0,False,dense_cartesian
97,mirror,regen,433.9739,266.1859,93.8141,-750.0,-50.0,False,dense_cartesian
98,mirror,motoring,419.5732,-86.0548,86.0548,-725.0,50.0,False,dense_cartesian
98,mirror,regen,419.5732,266.0548,93.9452,-725.0,-50.0,False,dense_cartesian
99,mirror,motoring,405.1749,-85.9144,85.9144,-700.0,50.0,False,dense_cartesian
99,mirror,regen,405.1749,265.9144,94.0856,-700.0,-50.0,False,dense_cartesian
100,mirror,motoring,390.7791,-85.7636,85.7636,-675.0,50.0,False,dense_cartesian
